original_product_url,product_name,size,color_image,colors,description,gender,images,original_price,sale_price,special_offer,brand,website_name,website_domain
https://www.pacsun.com/pacsun/bone-cargo-shorts-0821436750004.html?country=IN,PacSun Bone Cargo Shorts,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BONE'],"2.5"" inseam High-rise Rigid fabric Contrast stitching Cargo side pockets Zip fly, button closure Elastic back waistband Model is wearing a small 100% cotton Machine washable",women,[],"INR 3,260.00",,Take 17% Off With Code 17OFF,PacSun,pacsun,www.pacsun.com
https://www.pacsun.com/playboy/boyfriend-sweatpants-0850250500044.html?country=IN,Playboy Boyfriend Sweatpants,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BLACK'],"26"" inseam Fleece lining Interior drawcord waistband Side pockets Logo embroidery Relaxed fit Model is wearing a small 60% cotton, 40% polyester Machine washable",women,[''],"INR 3,260.00",,,Playboy,pacsun,www.pacsun.com
https://www.pacsun.com/the-north-face/black-1996-retro-nuptse-vest-0760519500028.html?country=IN,The North Face Black 1996 Retro Nuptse Vest,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BLACK'],Sleeveless Stand-up collar Full zipper front closure Logo embroidery Adjustable shock cord hem Boxy fit Zipper side pockets Stowable hood packs into collar Model is wearing a medium 100% nylon Machine washable,women,[''],"INR 14,688.00",,,The North Face,pacsun,www.pacsun.com
https://www.pacsun.com/me-to-we/she-knows-t-shirt-0703484260037.html?country=IN,Me To We She Knows T-Shirt,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['WHITE'],"Ribbed fabric Crew neckline Short sleeves Center back seam Model is wearing a small 48% polyester, 40% cotton, 12% rayon Machine washable",women,[''],"INR 1,383.00","Now INR 1,057.00",Take 17% Off With Code 17OFF,Me To We,pacsun,www.pacsun.com
https://www.pacsun.com/la-hearts/smocked-one-shoulder-tank-top-0731461580453.html?country=IN,LA Hearts Smocked One Shoulder Tank Top,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['WHITE'],Smocked bodice Asymmetrical neckline Single shoulder strap Cropped length Model is wearing a small 100% rayon Machine washable,women,[''],"INR 2,036.00","Now INR 1,629.00",Take 17% Off With Code 17OFF,LA Hearts,pacsun,www.pacsun.com
https://www.pacsun.com/lottie-moss/lace-bralette-top-0731501980065.html?country=IN,Lottie Moss Lace Bralette Top,"['XS    SIZE', 'SML   SIZE']",None,['HOT PINK'],Lace fabric Scalloped trim V-neckline Back zipper closure Cropped length Model is wearing a small,women,[''],"INR 2,199.00",,Take 17% Off With Code 17OFF,Lottie Moss,pacsun,www.pacsun.com
https://www.pacsun.com/la-hearts/lace-tie-front-cami-top-0731461580462.html?country=IN,LA Hearts Lace Tie Front Cami Top,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['WHITE'],Woven fabric Lace trim Adjustable straps Tie front Cropped length Model is wearing an xsmall 100% rayon Machine washable,women,[''],"INR 2,199.00",,Take 17% Off With Code 17OFF,LA Hearts,pacsun,www.pacsun.com
https://www.pacsun.com/me-to-we/smocked-cropped-cami-top-0723600070002.html?country=IN,Me To We Smocked Cropped Cami Top,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['LIGHT BLUE'],Smocked fabric V-neckline Fixed straps Cropped length,women,[''],"INR 1,873.00","Now INR 1,057.00",Take 17% Off With Code 17OFF,Me To We,pacsun,www.pacsun.com
https://www.pacsun.com/la-hearts/v-neck-babydoll-tank-top-0731461580446.html?country=IN,LA Hearts V-Neck Babydoll Tank Top,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE']",None,['BLACK'],"Woven fabric Fixed straps V-neckline Ruffled hem Flowy fit Model is wearing an xsmall 84% rayon, 16% linen Machine washable",women,[''],"INR 2,444.00","Now INR 1,955.00",Take 17% Off With Code 17OFF,LA Hearts,pacsun,www.pacsun.com
https://www.pacsun.com/la-hearts/smocked-bodice-cami-top-0731461580464.html?country=IN,LA Hearts Smocked Bodice Cami Top,"['SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['WHITE'],Thin fixed straps Scoop neckline Smocked bodice Cropped length Model is wearing an xsmall Self: 100% rayon; Lining: 100% cotton Machine washable,women,[''],"INR 2,199.00",,Take 17% Off With Code 17OFF,LA Hearts,pacsun,www.pacsun.com
https://www.pacsun.com/kendall-kylie/daisy-trim-tank-top-0731461580449.html?country=IN,Kendall & Kylie Daisy Trim Tank Top,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BLACK'],Fixed straps V-neckline Crochet daisy trim Button-down front closure Smocked back detail Cropped length Model is wearing an xsmall 100% cotton Machine washable,women,[''],"INR 2,362.00",,Take 17% Off With Code 17OFF,Kendall & Kylie,pacsun,www.pacsun.com
https://www.pacsun.com/champion/reverse-weave-crew-neck-sweatshirt-0751499380065.html?country=IN,Champion Reverse Weave Crew Neck Sweatshirt,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BLACK'],"Pullover sweatshirt Long sleeves Crew neckline Logo embroidery at the left chest Ribbed cuffs Model is wearing a small 84% cotton, 16% polyester Machine washable",women,[''],"INR 4,488.00","Now INR 3,591.00",Take 17% Off With Code 17OFF,Champion,pacsun,www.pacsun.com
